"","GSM580027_HEK293_B1.CEL","GSM580028_HEK293_B2.CEL","GSM580039_HCT116_B1.CEL","GSM580040_HCT116_B2.CEL","GSM993504_H9ES_B1.CEL","GSM993505_H9ES_B2.CEL","GSM993507_HEK293T_B1.CEL","GSM993508_HEK293T_B2.CEL","GSM993509_HeLa-S3_B1.CEL","GSM993510_HeLa-S3_B2.CEL","GSM993511_HeLa-S3_B3.CEL","GSM993518_HepG2_B1.CEL","GSM993519_HepG2_B2.CEL","GSM993520_HepG2_B3.CEL","GSM993543_HUVEC_B1.CEL","GSM993544_HUVEC_B2.CEL","GSM993551_K562_B1.CEL","GSM993553_K562_B2.CEL","GSM993555_K562_B3.CEL"
"3201225",2.460799,2.327385,2.497033,2.53379,2.682926,2.932542,3.452663,3.026243,2.800211,2.758099,2.366172,2.526256,2.514072,2.739257,2.919872,3.371284,2.645108,2.832208,2.599372
"3201242",2.950824,2.913977,3.468648,4.439576,3.561471,3.62774,3.621875,3.99662,2.651285,3.857819,2.566902,3.073657,4.250825,3.556337,2.860784,3.26937,3.173518,3.004185,2.757968
"3201255",2.660341,2.736846,2.510017,2.793988,3.711303,2.799564,2.765361,2.783302,2.758423,3.245959,2.816847,2.764345,2.721635,2.893693,3.035811,2.492748,2.737819,3.447805,2.594109
"3201277",9.49503,9.423155,8.669709,8.303448,7.137001,7.44397,8.568914,8.480452,7.783422,7.866455,7.575036,7.748825,7.563163,7.273575,7.783422,8.089746,4.754562,4.294346,4.267766
"3201300",3.776417,4.011413,3.351479,4.478902,5.743685,4.612185,4.770015,5.153067,3.289464,4.026623,4.939951,5.362916,4.522774,4.645254,4.690134,5.11305,3.122192,4.743694,4.860697
"3201319",3.150192,3.423519,3.449659,4.048786,5.101717,4.344819,3.347772,4.196516,3.096511,3.245254,2.715655,3.754031,2.96949,3.713927,3.494271,3.458063,3.650808,3.680433,3.481362
"3201345",4.643678,4.420603,4.754015,4.468563,3.975458,3.155705,3.645003,3.519622,6.027936,6.139237,6.369661,3.277974,3.102361,3.685025,5.417833,5.187786,3.51462,3.4604,2.987391
"3201359",3.071856,2.981985,3.275796,3.288543,3.159499,3.262201,3.025356,3.308461,3.326745,3.353166,4.277671,3.015526,2.88023,3.082637,3.151129,3.168703,3.394154,3.143025,3.136074
"3201437",8.71242,8.672853,7.074126,7.399159,6.038265,5.616973,7.022459,6.96125,7.71893,8.350467,8.28633,6.259339,6.303419,6.468005,6.664745,6.312581,6.201672,6.391666,6.18572
"3201488",8.751842,8.89858,7.167663,7.260837,6.570622,6.187408,6.631701,6.906513,7.423984,7.737265,7.730988,6.946753,6.880702,7.161168,7.322448,7.167663,7.18799,6.96692,7.323249
"3201784",6.39789,6.26514,3.141822,3.215285,6.187411,6.083159,6.539279,5.8685,3.104931,3.47043,3.11292,3.263566,3.195812,3.54533,3.172926,3.442914,3.494988,3.231961,3.198998
"3201999",6.464957,6.749162,6.003306,6.058795,5.487391,6.72935,5.883778,6.558721,6.767802,6.99302,6.780063,6.182106,6.311755,6.423553,6.753104,6.921648,6.876886,6.731532,6.357477
"3202136",6.850923,6.770914,6.678849,6.77848,7.613441,8.616412,8.190868,7.665949,7.689535,7.547548,7.664982,7.752248,7.669468,7.454063,7.059871,6.969395,7.191736,7.126492,7.321917
"3202171",8.11927,8.103431,8.11768,7.927869,9.616716,9.743168,9.454499,9.07629,8.756052,8.563086,8.715146,7.649908,7.56809,7.583745,8.370206,8.423678,7.824392,7.767442,7.806577
"3202224",2.254495,2.377684,2.438988,2.564213,2.780381,3.042505,2.784607,2.778831,2.457805,2.758886,2.542692,2.531748,2.464825,2.496309,2.571857,2.674422,2.747244,2.574586,2.53603
"3202293",3.201158,3.126992,3.160251,3.365343,3.90536,3.266777,3.218794,3.395844,3.164821,3.239841,3.07364,3.22839,3.125799,3.25513,3.251777,3.127807,3.375249,3.200364,3.575985
"3202316",7.900508,7.905046,6.122636,6.226488,7.713119,8.006562,7.294684,6.898087,7.589978,7.620054,7.439085,5.224771,5.064097,5.351595,5.107441,4.929971,8.168538,8.251359,8.128524
"3202421",6.412627,6.201153,5.645955,5.461906,6.493133,6.752541,6.006399,5.853115,5.550246,5.432603,5.448164,4.550212,4.644316,4.49067,4.910059,5.240586,4.941264,4.942484,4.726023
"3202528",5.143716,4.75186,3.648965,3.499008,4.475086,3.835155,3.504156,3.987909,4.142305,4.091403,4.170888,3.366732,3.468741,3.633048,3.646847,3.706379,3.9047,3.643204,3.907007
"3203086",5.591914,5.243238,5.277696,5.110072,5.826223,5.721846,4.711458,4.642682,4.342457,4.588802,4.679353,5.190616,5.403533,5.02541,5.785786,6.334751,3.63263,3.682715,3.645582
"3203135",6.530842,6.441905,6.233206,6.054738,8.012144,7.948287,7.831086,6.81998,6.874785,6.7017,6.986921,6.409474,6.407643,6.411133,6.477783,6.361614,6.312546,6.561702,6.412992
"3203162",8.040847,8.246771,7.008145,7.426906,9.370078,9.370487,9.840847,9.344358,5.737722,5.587506,5.961413,4.962597,5.178584,6.130084,6.111652,6.353921,6.461143,6.966635,5.638008
"3203199",3.910577,3.738412,3.816869,4.027019,4.900194,4.286394,4.062864,4.199014,3.807345,3.6138,3.749967,3.565244,3.482012,3.639035,4.14387,3.962435,3.8729,4.372998,4.032248
"3203311",7.049997,7.052508,6.794194,6.829325,7.924806,8.527561,8.731062,8.596603,6.978101,6.985521,6.883493,6.80124,6.840273,7.072217,6.697985,6.682209,7.282018,7.275531,6.852765
"3203382",8.497322,8.411395,7.67279,7.958147,5.228598,7.570247,8.553542,7.485623,7.565445,6.972109,7.9281,7.555388,7.192039,7.501934,7.187363,6.837129,7.608879,8.091639,7.550882
"3203413",3.577364,3.683284,4.139461,3.884772,4.681443,4.593952,3.763186,3.755421,3.843611,4.322973,4.250426,3.176467,4.316894,4.404147,3.9243,4.343689,4.416489,3.93118,3.695658
"3203482",7.324864,7.442448,7.127101,7.487197,9.07258,9.741098,10.02056,9.556141,9.695327,10.08584,9.602423,7.808053,7.775462,8.107163,8.107163,8.083731,8.185697,8.178797,8.107163
"3203524",6.696781,7.056632,6.865565,7.169839,6.473114,5.812152,6.368155,6.745909,6.735289,6.891562,6.714308,6.868258,6.339701,7.17705,7.385663,6.874147,6.554122,6.970542,6.344859
"3203569",6.496491,6.799474,6.536977,6.696284,6.552491,6.071534,6.194548,6.82449,9.884065,9.865986,9.891411,6.181269,6.100016,6.27964,5.774913,5.896134,7.643252,8.247974,7.777427
"3203582",6.841514,6.970665,6.70525,7.042066,6.225188,6.537592,6.085215,6.13264,8.42039,8.388354,7.829332,7.925961,7.752182,7.908145,7.908706,7.856276,7.919907,8.292358,7.951008
"3203636",4.413504,3.784508,3.136997,3.309485,4.053001,3.900335,3.765424,4.303841,3.768086,3.820847,3.83199,3.739831,3.353458,3.062101,3.79858,3.184755,4.836392,3.306871,4.182824
"3203665",4.206334,3.801855,3.009786,2.943677,3.698859,3.887723,3.996051,3.82918,2.775069,2.418709,3.545544,2.886487,3.041425,3.54399,2.875403,2.607105,3.346324,2.520129,3.262574
"3203753",9.376102,9.312306,9.159403,9.250194,8.817832,9.04375,9.08796,8.949286,9.159403,9.211446,9.09451,9.165239,9.195566,9.265014,9.117096,9.159785,8.969483,9.146442,8.998818
"3203855",9.292113,9.362141,9.019277,8.989519,7.88277,7.855041,8.653196,8.372723,9.170943,9.185467,8.993308,8.757562,8.626449,8.599462,8.047822,8.196293,8.933626,8.926787,8.92003
"3203935",6.801298,6.493842,5.668489,6.041165,5.711915,5.48041,5.92943,6.103752,6.258875,6.474519,6.621723,5.485777,5.289283,5.701738,5.838613,5.523363,5.77062,5.769537,5.874319
"3203962",5.17122,5.05429,4.552065,4.860308,4.6379,4.52409,5.527789,5.612645,5.191227,5.038703,5.901042,4.440522,4.497185,4.130316,4.557877,4.718597,5.430487,4.603006,5.670825
"3203990",6.854126,6.924364,6.547908,6.784832,5.790368,5.548331,5.79095,5.206525,6.66871,6.75895,7.059305,8.791806,8.787857,8.565826,5.964827,6.279421,4.743021,4.318289,5.370637
"3203996",4.365262,4.681733,4.800072,5.265107,5.75716,5.244778,5.334693,5.361196,4.474287,4.867892,4.64785,4.50722,4.579644,4.803356,5.019937,4.626354,5.017721,4.908228,4.912803
"3204019",7.065021,7.005229,6.298585,6.361649,6.102865,6.288614,6.513965,6.481193,6.27931,6.260723,6.296897,6.393011,6.038872,6.412385,7.190039,7.313621,6.404093,6.371712,6.27446
"3204061",4.698885,4.967336,4.943694,5.24148,4.945657,4.923887,4.889906,5.156939,4.273872,4.681367,4.351751,4.725045,4.903995,4.779771,5.033033,4.932447,4.74374,5.032587,5.254626
"3204149",6.22834,6.454765,5.988066,6.135217,6.483259,6.113868,6.452251,6.705337,5.736913,5.781641,5.666422,5.812931,5.700557,5.860295,6.426366,5.911778,6.063269,6.202347,6.180092
"3204174",7.554934,7.818788,7.823702,7.92799,7.240576,8.157033,8.558197,8.148459,7.980087,8.042507,7.901887,7.081475,6.990599,7.455522,7.107545,6.68783,7.50177,7.557365,7.544989
"3204202",9.599984,9.523776,8.702179,8.704162,8.062676,8.801083,9.907052,9.755231,9.179477,9.339342,9.255742,8.085301,8.059709,8.588985,9.675981,9.549814,9.065359,8.972949,8.828065
"3204243",10.907,11.06184,10.52936,10.79498,7.460536,8.597092,8.961185,8.984316,9.787964,9.929935,9.697049,8.710444,8.738296,9.245522,9.091484,8.930944,7.845879,8.493261,8.226279
"3204261",4.307351,4.305442,4.555018,4.549602,4.727196,5.49739,4.618378,5.555166,4.712312,4.629452,4.420951,4.374342,4.581267,4.718011,4.349055,4.395249,5.211921,4.916076,4.885614
"3204285",3.832485,3.641894,3.402771,3.793809,4.352668,4.307188,3.522762,4.477565,3.341244,3.694958,3.412936,3.29244,3.296879,3.630956,3.702278,3.694958,3.525736,3.757821,3.518778
"3204301",4.347126,4.75132,4.81521,4.91979,5.088704,5.402019,5.313726,5.587459,4.733721,4.550214,4.764574,4.565774,4.582106,5.072379,4.970133,4.739691,4.68252,5.118782,5.167232
"3204404",10.59089,10.62183,9.747496,9.849007,9.343147,9.734603,9.523383,8.717748,11.26965,11.11453,10.94751,11.26402,11.19507,11.28367,11.31748,11.44345,11.00185,10.9892,11.04088
"3204463",7.34303,7.623356,7.299221,7.556849,7.152568,7.225808,6.740078,7.159868,8.351024,8.321426,8.40086,7.115753,7.204337,7.616171,7.34938,7.281655,6.908684,7.091355,7.069497
