"","HEK293","HCT","H9","HEK293T","HELA","HEPG2","HUVEC","K562"
"3722331",5.12215641129774,5.70864050784203,5.66866861413695,5.51042674859527,5.82234837731191,6.13965533175076,5.66308290073154,6.31130117835022
"3722333",8.7550468028624,8.75462134126009,9.46734050704872,9.77617502481908,8.38810896453191,8.12974066274753,8.3313370318211,8.59716201087088
"3722335",6.5820871836316,6.35586688793234,8.9826932070812,9.02039767356145,7.47234103659061,7.58078368426435,6.2569024970721,7.70765110339409
"3722338",5.98825901375214,6.51708109678555,5.97697235212929,5.4481185737611,7.94560147798709,7.99221545363413,6.64560818094093,7.08383303082161
"3722355",6.83856268938303,5.66567628222527,8.103193477834,6.53682297076274,4.87583568148105,4.98155119267038,5.34141166192553,5.59092391197194
"3722384",6.86650458272039,7.29247585491926,6.81498350679398,6.38423957876235,6.98355876967953,7.12711342276642,6.2282755471787,7.02019326700246
"3722417",8.80181390707203,8.53847560389073,6.56284907181192,6.80856593032235,7.73966221385769,7.97854752391789,7.64691576262589,7.86744665855935
"3722535",5.471418388889,6.03509300470516,5.06480361926235,5.46542049617731,5.60727729303661,5.95051635301934,5.15831310987073,4.73160709042419
"3722554",8.55115486117885,8.09732361870956,8.04943940619878,8.64504589672058,8.77937071703744,8.73926583316852,8.40932381118116,8.3567040428556
"3722656",5.03047502281633,5.36031646619907,5.67842963838717,5.78606504456966,5.1250224975789,5.29904165664046,5.32590884256759,5.32514272265274
"3722681",6.53867476522958,7.02308447049283,7.75924127778469,7.3827221014503,6.79597499990343,6.80757760847011,7.05515961901845,7.13559304889898
"3722700",6.87097830129983,7.60304703090742,6.75266108150311,6.69861421761421,6.86442476610489,7.15065250764536,7.66692430928366,7.23590222519187
"3722739",9.75542017173889,8.91978951796183,7.77912687737263,7.74296535836337,9.01369647762642,9.01556289167007,8.72001958077625,8.16347833162695
"3722770",7.97987295885047,7.52044502201138,6.99624836172649,7.10910694723098,7.18825748722069,7.05902202403789,6.69192792740156,7.34948382231734
"3722806",6.42605064396796,6.58895769089029,6.91845038255378,7.10572156576069,6.48898325353046,6.44704984224379,6.69129523350083,6.72886636330455
"3722820",7.00821714542089,6.60660258894881,6.3918059807565,6.59404265300364,7.24109585436293,7.52145536196063,7.43151942205008,7.14228497771751
"3722872",5.45313455390031,5.62975494713529,5.78453971965679,5.85482907684595,5.41277229158844,5.51230707945783,5.65697553210414,5.67971965669735
"3722917",11.2231435206867,10.3387325927688,7.57108719503354,7.57762786145412,11.1980128276349,10.7750208173428,11.1295494120412,9.25604205330147
"3723005",7.08932240903139,6.93411981653817,5.73377255647514,5.94182773928507,6.3012128136414,5.58779624602059,5.81297834910583,5.90353989827902
